Epoch: 1 | Training loss: 2.0759182157555576 | Validation Loss: 2.0053964418465973
Epoch: 2 | Training loss: 1.9826545262035347 | Validation Loss: 1.9542409995865953
Epoch: 3 | Training loss: 1.9400566467091944 | Validation Loss: 1.9176074650769677
Epoch: 4 | Training loss: 1.9025118759886412 | Validation Loss: 1.8806456171098302
Epoch: 5 | Training loss: 1.8622587430912927 | Validation Loss: 1.8396507513001967
Epoch: 6 | Training loss: 1.8174515067818307 | Validation Loss: 1.7942693083664107
Epoch: 7 | Training loss: 1.7692859136573602 | Validation Loss: 1.746528683627238
Epoch: 8 | Training loss: 1.7200743440356645 | Validation Loss: 1.6990366661157765
Epoch: 9 | Training loss: 1.672180974100652 | Validation Loss: 1.6538867561217865
Epoch: 10 | Training loss: 1.6272668267909194 | Validation Loss: 1.6121527995568155
Epoch: 11 | Training loss: 1.5853055063717838 | Validation Loss: 1.5727718767246914
Epoch: 12 | Training loss: 1.545931043073428 | Validation Loss: 1.5358768489842858
Epoch: 13 | Training loss: 1.509263515553867 | Validation Loss: 1.501578012776505
Epoch: 14 | Training loss: 1.4749136214823213 | Validation Loss: 1.4692708058435409
Epoch: 15 | Training loss: 1.4424833642324573 | Validation Loss: 1.4387562315646416
Epoch: 16 | Training loss: 1.4118715393531025 | Validation Loss: 1.4097880929545628
Epoch: 17 | Training loss: 1.3826851442400245 | Validation Loss: 1.382256591254896
Epoch: 18 | Training loss: 1.3547631977339185 | Validation Loss: 1.3561285024132232
Epoch: 19 | Training loss: 1.3280571975172848 | Validation Loss: 1.3310720648596195
Epoch: 20 | Training loss: 1.302399786332381 | Validation Loss: 1.307172979894883
Epoch: 21 | Training loss: 1.2777874322221838 | Validation Loss: 1.2843796033514001
Epoch: 22 | Training loss: 1.2542278498849 | Validation Loss: 1.2626451663469356
Epoch: 23 | Training loss: 1.2317578861605074 | Validation Loss: 1.2418157904525924
Epoch: 24 | Training loss: 1.2101754995796679 | Validation Loss: 1.2218046595490044
Epoch: 25 | Training loss: 1.1894550132474517 | Validation Loss: 1.2026011387669975
