Epoch: 1 | Training loss: 0.6865209286779848 | Validation Loss: 0.6786432714084458
Epoch: 2 | Training loss: 0.6732070838932621 | Validation Loss: 0.6710211226686102
Epoch: 3 | Training loss: 0.6661913513139445 | Validation Loss: 0.6653710326047543
Epoch: 4 | Training loss: 0.6606783584233719 | Validation Loss: 0.660786471161686
Epoch: 5 | Training loss: 0.6560528812491532 | Validation Loss: 0.6568978993944783
Epoch: 6 | Training loss: 0.6520241192116606 | Validation Loss: 0.6535157894339066
Epoch: 7 | Training loss: 0.6484429661806916 | Validation Loss: 0.6505408758104173
Epoch: 8 | Training loss: 0.6452309024753446 | Validation Loss: 0.6479126506897269
Epoch: 9 | Training loss: 0.6423402320444686 | Validation Loss: 0.6455873356002276
Epoch: 10 | Training loss: 0.6397348903463203 | Validation Loss: 0.6435298475492848
Epoch: 11 | Training loss: 0.6373837154688263 | Validation Loss: 0.6417091499830856
Epoch: 12 | Training loss: 0.6352582351569638 | Validation Loss: 0.6400955536814986
Epoch: 13 | Training loss: 0.6333310878547662 | Validation Loss: 0.6386612593476239
Epoch: 14 | Training loss: 0.6315764368883693 | Validation Loss: 0.6373811554306191
Epoch: 15 | Training loss: 0.6299710500645564 | Validation Loss: 0.6362329340371929
Epoch: 16 | Training loss: 0.6284945553832385 | Validation Loss: 0.6351973437220673
Epoch: 17 | Training loss: 0.627129081867032 | Validation Loss: 0.6342573772118392
Epoch: 18 | Training loss: 0.6258587486352128 | Validation Loss: 0.6333973877579788
Epoch: 19 | Training loss: 0.6246690910435554 | Validation Loss: 0.6326032290693189
Epoch: 20 | Training loss: 0.6235466108545737 | Validation Loss: 0.6318605933847323
Epoch: 21 | Training loss: 0.6224783126724267 | Validation Loss: 0.6311554706406072
Epoch: 22 | Training loss: 0.6214512854478528 | Validation Loss: 0.630472823366767
Epoch: 23 | Training loss: 0.620452176762963 | Validation Loss: 0.6297958446005003
Epoch: 24 | Training loss: 0.619466351788729 | Validation Loss: 0.629104497613477
Epoch: 25 | Training loss: 0.6184760065037194 | Validation Loss: 0.6283724014062048
Epoch: 26 | Training loss: 0.6174548216237931 | Validation Loss: 0.6275575324241581
Epoch: 27 | Training loss: 0.6163525535745102 | Validation Loss: 0.6265788415823478
Epoch: 28 | Training loss: 0.6150736795947704 | Validation Loss: 0.6253773693015666
Epoch: 29 | Training loss: 0.6135802410357146 | Validation Loss: 0.6241272225813136
Epoch: 30 | Training loss: 0.6118673393098739 | Validation Loss: 0.6226795049882977
